TransactionID,Date,SendingInstitution,ReceivingInstitution,AssetType,Network,Region,Amount_USD,SettlementStatus,SettlementTime_Seconds,TraditionalRail_Benchmark_Hours,Fee_BPS,Fee_USD,SettlementTime_Missing_Reason,log_amount,z_score,is_anomalous
TXN100010,2026-03-16,Standard Chartered,JPMorgan,Tokenised Equity,Permissioned Ledger,US,149212.77,Pending,,34.7,1.54,22.98,Pending,11.913135254718334,0.7233382430172848,False
TXN100011,2026-03-29,Deutsche Bank,BNY Mellon,Regulated Stablecoin,Hybrid Network,EU,27303.88,Settled,16.6,43.3,1.85,5.05,N/A,10.21482071977711,-0.5833284823254413,False
TXN100012,2026-04-27,BNY Mellon,Standard Chartered,Tokenised Deposit,Hybrid Network,APAC,23041.01,Settled,16.9,38.4,2.59,5.97,N/A,10.04507435058801,-0.7139296918209579,False
TXN100013,2026-04-10,Barclays,Standard Chartered,Tokenised Deposit,Hybrid Network,EU,266526.39,Settled,27.4,53.2,2.95,78.63,N/A,12.493232294042329,1.1696592767006762,False
TXN100014,2026-04-14,HSBC,Citi,Tokenised Deposit,Hybrid Network,EU,33426.55,Settled,45.1,57.2,2.68,8.96,N/A,10.417135689262139,-0.42766930775801354,False
TXN100015,2026-06-01,Standard Chartered,HSBC,Tokenised Deposit,Public Blockchain,APAC,15604.51,Settled,17.3,35.6,3.99,6.23,N/A,9.655379336003586,-1.0137572550391212,False
TXN100016,2026-05-11,BNY Mellon,JPMorgan,Tokenised Bond,Public Blockchain,APAC,91126.42,Settled,55.0,32.5,4.44,40.46,N/A,11.420014025885628,0.3439355540459435,False
TXN100017,2026-05-30,UBS,Standard Chartered,Tokenised Equity,Permissioned Ledger,UK,7846.73,Settled,4.2,24.9,2.06,1.62,N/A,8.967979596983655,-1.5426359447676423,False
TXN100018,2026-02-22,Citi,Barclays,Tokenised Equity,Permissioned Ledger,UK,50753.16,Settled,5.4,29.7,0.88,4.47,N/A,10.83474886398799,-0.10636178300206922,False
TXN100019,2026-01-02,JPMorgan,UBS,Tokenised Bond,Public Blockchain,MEA,30760.03,Settled,51.1,51.4,4.16,12.8,N/A,10.334003908104481,-0.4916300935973362,False
TXN100020,2026-03-29,JPMorgan,HSBC,Tokenised Bond,Permissioned Ledger,APAC,98135.29,Settled,4.6,45.5,1.18,11.58,N/A,11.494112505790964,0.40094620554703914,False
TXN100021,2026-06-07,Citi,BNY Mellon,Tokenised Bond,Public Blockchain,MEA,42045.78,Settled,49.0,47.3,3.69,15.51,N/A,10.64653808696369,-0.2511693287356775,False
TXN100022,2026-02-07,BNY Mellon,Standard Chartered,Tokenised Real Estate Fund,Hybrid Network,UK,117910.82,Settled,25.1,39.2,3.17,37.38,N/A,11.677692335953246,0.5421907456966202,False
TXN100023,2026-05-10,Barclays,Citi,Regulated Stablecoin,Permissioned Ledger,EU,56470.02,Settled,11.6,67.1,3.38,19.09,N/A,10.941482865191906,-0.024241678058920538,False
TXN100024,2026-07-11,Deutsche Bank,BNY Mellon,Tokenised Equity,Permissioned Ledger,MEA,11656.85,Pending,,39.3,1.76,2.05,Pending,9.36373505182174,-1.2381455376195352,False
TXN100025,2026-07-07,JPMorgan,UBS,Tokenised Deposit,Hybrid Network,APAC,155093.39,Settled,30.5,25.9,3.8,58.94,N/A,11.951789178297707,0.7530781967808291,False
TXN100026,2026-01-21,JPMorgan,BNY Mellon,Tokenised Deposit,Permissioned Ledger,APAC,21606.58,Settled,9.8,22.3,2.81,6.07,N/A,9.980799458038081,-0.7633821705238367,False
TXN100027,2026-06-10,BNY Mellon,Standard Chartered,Regulated Stablecoin,Hybrid Network,US,821873.8,Settled,28.7,26.5,1.8,147.94,N/A,13.619343351002229,2.036078197870042,False
TXN100028,2026-02-27,Citi,BNY Mellon,Regulated Stablecoin,Permissioned Ledger,UK,44733.07,Settled,6.2,32.0,1.94,8.68,N/A,10.708490682674284,-0.20350360268897263,False
TXN100029,2026-01-22,UBS,Citi,Tokenised Deposit,Public Blockchain,MEA,105087.35,Settled,74.5,44.0,3.16,33.21,N/A,11.562556703908522,0.4536065075011013,False
TXN100030,2026-03-30,JPMorgan,Barclays,Tokenised Deposit,Hybrid Network,US,36565.89,Settled,13.6,20.2,2.03,7.42,N/A,10.50689846514265,-0.3586066989159366,False
TXN100031,2026-02-18,UBS,Standard Chartered,Tokenised Deposit,Permissioned Ledger,US,28196.92,Settled,7.3,41.1,3.93,11.08,N/A,10.247003495340637,-0.5585673670591876,False
TXN100032,2026-02-28,BNY Mellon,Barclays,Tokenised Deposit,Hybrid Network,EU,220615.61,Settled,45.6,42.8,3.04,67.07,N/A,12.304181677617992,1.024205566681194,False
TXN100033,2026-06-19,UBS,Standard Chartered,Tokenised Bond,Permissioned Ledger,MEA,1093421.77,Settled,7.3,31.8,0.55,60.14,N/A,13.904823490175898,2.2557238470885803,False
TXN100034,2026-07-07,JPMorgan,UBS,Tokenised Bond,Permissioned Ledger,US,157790.81,Settled,5.3,28.1,4.01,63.27,N/A,11.969031784906315,0.7663444910096674,False
TXN100035,2026-01-15,BNY Mellon,UBS,Tokenised Equity,Permissioned Ledger,UK,72647.64,Failed,,63.0,3.85,27.97,Failed,11.193389948933326,0.1695731880515135,False
TXN100036,2026-07-09,Citi,JPMorgan,Tokenised Deposit,Permissioned Ledger,US,65582.74,Failed,,24.9,0.88,5.77,Failed,11.091083078354703,0.09085927445737595,False
TXN100037,2026-07-09,Citi,HSBC,Tokenised Real Estate Fund,Public Blockchain,UK,81624.09,Settled,49.6,38.9,4.14,33.79,N/A,11.309891969181493,0.25920871207342383,False
TXN100038,2026-06-24,UBS,Citi,Tokenised Bond,Permissioned Ledger,US,924273.33,Settled,4.7,50.7,3.31,305.93,N/A,13.73676420049893,2.1264206602008646,False
TXN100039,2026-07-09,BNY Mellon,Citi,Tokenised Deposit,Public Blockchain,APAC,582133.86,Settled,42.1,24.8,2.39,139.13,N/A,13.274457418084115,1.7707263073272932,False
TXN100040,2026-02-20,JPMorgan,BNY Mellon,Tokenised Real Estate Fund,Permissioned Ledger,UK,68736.28,Settled,6.6,33.7,2.38,16.36,N/A,11.138046980229024,0.12699284489376145,False
TXN100041,2026-04-18,HSBC,BNY Mellon,Tokenised Bond,Permissioned Ledger,US,88970.52,Settled,3.5,45.1,1.33,11.83,N/A,11.39607159750335,0.3255144819492453,False
TXN100042,2026-02-24,UBS,JPMorgan,Tokenised Bond,Permissioned Ledger,UK,245198.52,Settled,6.3,41.8,1.67,40.95,N/A,12.409827525456633,1.105488456982872,False
TXN100043,2026-03-05,Deutsche Bank,UBS,Tokenised Real Estate Fund,Permissioned Ledger,MEA,2084683.08,Settled,8.4,52.0,4.02,838.04,N/A,14.550127881350972,2.752214784614,False
TXN100044,2026-05-11,BNY Mellon,Citi,Regulated Stablecoin,Permissioned Ledger,US,160417.98,Settled,7.7,31.6,3.42,54.86,N/A,11.985544296591264,0.7790490572879645,False
TXN100045,2026-02-20,UBS,Citi,Tokenised Equity,Public Blockchain,MEA,13897.01,Settled,78.4,29.5,4.32,6.0,N/A,9.539500943402004,-1.102912966000476,False
TXN100046,2026-05-15,Citi,Standard Chartered,Tokenised Equity,Permissioned Ledger,US,171770.53,Settled,9.6,45.8,3.7,63.56,N/A,12.05392055885111,0.831657090052248,False
TXN100047,2026-01-21,Barclays,JPMorgan,Regulated Stablecoin,Permissioned Ledger,APAC,12500.14,Settled,7.4,46.3,1.78,2.23,N/A,9.433575119131925,-1.1844112674520404,False
TXN100048,2026-03-14,Barclays,Standard Chartered,Regulated Stablecoin,Permissioned Ledger,MEA,276240.64,Settled,2.8,38.5,3.99,110.22,N/A,12.529031268912744,1.1972026606275947,False
TXN100049,2026-06-16,Citi,UBS,Regulated Stablecoin,Permissioned Ledger,EU,160591.67,Settled,9.7,47.0,2.63,42.24,N/A,11.986626438108244,0.7798816464716861,False
TXN100050,2026-01-18,BNY Mellon,Barclays,Tokenised Bond,Permissioned Ledger,EU,28532.82,Settled,9.9,52.0,0.77,2.2,N/A,10.258845329391036,-0.5494563748358171,False
TXN100051,2026-05-12,UBS,BNY Mellon,Tokenised Bond,Hybrid Network,APAC,49857.06,Settled,15.6,22.9,3.66,18.25,N/A,10.81693544737553,-0.12006725290960604,False
TXN100052,2026-03-30,Citi,JPMorgan,Tokenised Bond,Public Blockchain,US,418657.89,Settled,69.1,35.1,2.6,108.85,N/A,12.944811762328893,1.5171001381653844,False
TXN100053,2026-03-01,Deutsche Bank,UBS,Tokenised Bond,Permissioned Ledger,APAC,38204.46,Settled,8.7,10.6,2.02,7.72,N/A,10.550733716318042,-0.32488028197167546,False
TXN100054,2026-01-14,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,US,253569.46,Settled,4.4,16.5,1.37,34.74,N/A,12.443397012110735,1.1313164943076952,False
TXN100055,2026-01-09,BNY Mellon,JPMorgan,Tokenised Real Estate Fund,Permissioned Ledger,APAC,313086.15,Settled,8.1,41.0,1.04,32.56,N/A,12.65423686527139,1.2935346316627458,False
TXN100056,2026-03-31,UBS,Citi,Tokenised Deposit,Permissioned Ledger,US,42768.84,Settled,12.8,42.7,0.96,4.11,N/A,10.663588460274045,-0.23805093694137705,False
TXN100057,2026-02-22,BNY Mellon,Citi,Tokenised Real Estate Fund,Permissioned Ledger,APAC,40777.09,Failed,,37.1,2.93,11.95,Failed,10.615900206346925,-0.2747418168191843,False
TXN100058,2026-05-10,Standard Chartered,BNY Mellon,Tokenised Deposit,Permissioned Ledger,APAC,1835452.8,Failed,,29.8,3.85,706.65,Failed,14.422802311348914,2.654251726426581,False
TXN100059,2026-03-25,Standard Chartered,HSBC,Tokenised Bond,Hybrid Network,MEA,24848.27,Settled,23.3,30.3,1.58,3.93,N/A,10.12058365483574,-0.6558335657593016,False
TXN100060,2026-04-02,UBS,JPMorgan,Tokenised Real Estate Fund,Public Blockchain,US,91283.01,Settled,52.8,43.6,3.44,31.4,N/A,11.42173091433352,0.34525651135969726,False
TXN100061,2026-04-21,Deutsche Bank,Barclays,Tokenised Deposit,Permissioned Ledger,EU,25583.32,Settled,5.9,41.5,3.91,10.0,N/A,10.149734942812898,-0.6334048476290906,False
TXN100062,2026-07-07,Barclays,Standard Chartered,Regulated Stablecoin,Hybrid Network,US,84596.84,Settled,42.7,31.7,3.68,31.13,N/A,11.345664013353476,0.28673137578226277,False
TXN100063,2026-07-18,JPMorgan,Deutsche Bank,Tokenised Deposit,Hybrid Network,APAC,86176.93,Pending,,43.8,0.87,7.5,Pending,11.364169391387273,0.3009692340936433,False
TXN100064,2026-06-21,HSBC,Standard Chartered,Tokenised Equity,Permissioned Ledger,EU,1934896.24,Settled,10.9,61.0,4.17,806.85,N/A,14.475564777092696,2.694846655643755,False
TXN100065,2026-01-08,Standard Chartered,BNY Mellon,Tokenised Bond,Public Blockchain,MEA,13299.53,Failed,,32.0,3.56,4.73,Failed,9.49555916303993,-1.1367213454673735,False
TXN100066,2026-06-24,JPMorgan,UBS,Regulated Stablecoin,Hybrid Network,UK,15832.24,Settled,17.1,22.8,0.62,0.98,N/A,9.669866806600407,-1.0026107357261351,False
TXN100067,2026-02-04,Standard Chartered,BNY Mellon,Tokenised Real Estate Fund,Permissioned Ledger,EU,19833.04,Settled,11.4,47.4,3.27,6.49,N/A,9.89515493248297,-0.8292762375227398,False
TXN100068,2026-03-22,Deutsche Bank,BNY Mellon,Tokenised Deposit,Permissioned Ledger,APAC,18719.95,Settled,5.9,29.6,0.56,1.05,N/A,9.837398496607202,-0.8737134789056323,False
TXN100069,2026-06-13,BNY Mellon,Deutsche Bank,Regulated Stablecoin,Hybrid Network,UK,182335.24,Settled,29.7,41.8,4.04,73.66,N/A,12.11360773410803,0.8775798235820629,False
TXN100070,2026-02-19,Barclays,Citi,Regulated Stablecoin,Permissioned Ledger,UK,209067.13,Settled,4.6,61.3,2.81,58.75,N/A,12.250415458687975,0.9828383595014141,False
TXN100071,2026-04-14,JPMorgan,Citi,Regulated Stablecoin,Permissioned Ledger,US,166039.4,Settled,6.6,33.4,2.5,41.51,N/A,12.019986411222131,0.8055484861114663,False
TXN100072,2026-05-12,BNY Mellon,Standard Chartered,Tokenised Equity,Public Blockchain,APAC,214423.51,Settled,84.7,41.1,2.11,45.24,N/A,12.275713020674713,1.0023020582452453,False
TXN100073,2026-01-02,Citi,Barclays,Tokenised Deposit,Permissioned Ledger,US,38531.88,Settled,11.5,39.4,2.7,10.4,N/A,10.559267181777217,-0.31831471644305476,False
TXN100074,2026-05-14,BNY Mellon,UBS,Tokenised Deposit,Permissioned Ledger,US,19710.86,Settled,9.0,36.1,2.3,4.53,N/A,9.888975764035298,-0.8340304297732004,False
TXN100075,2026-02-23,HSBC,UBS,Regulated Stablecoin,Public Blockchain,APAC,220758.01,Settled,9.5,57.6,1.44,31.79,N/A,12.304826933035319,1.0247020199387158,False
TXN100076,2026-04-16,Barclays,Citi,Tokenised Deposit,Permissioned Ledger,APAC,22915.21,Settled,10.7,14.0,1.04,2.38,N/A,10.03959979938943,-0.7181417583964916,False
TXN100077,2026-01-04,BNY Mellon,Deutsche Bank,Regulated Stablecoin,Permissioned Ledger,APAC,57727.62,Settled,10.1,47.2,2.87,16.57,N/A,10.963508343386795,-0.007295488837252288,False
TXN100078,2026-02-23,HSBC,BNY Mellon,Tokenised Equity,Public Blockchain,UK,76143.2,Settled,38.9,38.5,4.13,31.45,N/A,11.24038418995967,0.20573010113710058,False
TXN100079,2026-07-10,JPMorgan,Standard Chartered,Tokenised Real Estate Fund,Permissioned Ledger,APAC,237499.96,Settled,10.2,37.3,3.88,92.15,N/A,12.377926944553927,1.0809444595506699,False
TXN100080,2026-05-26,BNY Mellon,Standard Chartered,Regulated Stablecoin,Permissioned Ledger,MEA,76799.93,Settled,8.2,23.3,0.92,7.07,N/A,11.248972028437446,0.21233750073868074,False
TXN100081,2026-02-13,UBS,JPMorgan,Tokenised Equity,Public Blockchain,EU,237050.84,Settled,11.5,35.6,3.96,93.87,N/A,12.37603413037565,1.0794881466868713,False
TXN100082,2026-06-11,Citi,Standard Chartered,Tokenised Bond,Permissioned Ledger,US,298241.36,Settled,7.0,31.2,3.13,93.35,N/A,12.605661723538184,1.256161388911936,False
TXN100083,2026-07-09,HSBC,BNY Mellon,Tokenised Bond,Hybrid Network,UK,112115.1,Settled,31.7,34.0,1.0,11.21,N/A,11.627290220513913,0.5034118471024689,False
TXN100084,2026-01-14,Barclays,BNY Mellon,Regulated Stablecoin,Hybrid Network,APAC,18567.96,Settled,31.4,32.1,1.97,3.66,N/A,9.829246648470427,-0.8799854317690278,False
TXN100085,2026-04-05,Citi,UBS,Tokenised Deposit,Permissioned Ledger,EU,131156.12,Settled,8.9,28.4,1.47,19.28,N/A,11.784151272803507,0.6240992187948695,False
TXN100086,2026-02-17,Barclays,Deutsche Bank,Tokenised Real Estate Fund,Hybrid Network,UK,45096.2,Settled,1.0,45.3,2.88,12.99,N/A,10.716575439306256,-0.1972832693784197,False
TXN100087,2026-01-15,Citi,Standard Chartered,Tokenised Deposit,Permissioned Ledger,APAC,2610.1,Settled,12.2,29.4,2.32,0.61,N/A,7.867526867467828,-2.389313597750619,False
TXN100088,2026-07-19,BNY Mellon,JPMorgan,Tokenised Deposit,Permissioned Ledger,APAC,143590.33,Pending,,31.8,0.57,8.18,Pending,11.874726557728986,0.6937869642128024,False
TXN100089,2026-07-09,Barclays,JPMorgan,Tokenised Deposit,Public Blockchain,EU,28404.92,Settled,79.1,59.0,2.77,7.87,N/A,10.254352853130694,-0.5529128424824209,False
TXN100090,2026-02-09,JPMorgan,Barclays,Regulated Stablecoin,Public Blockchain,APAC,143098.13,Settled,73.5,8.7,1.71,24.47,N/A,11.871292885861491,0.6911451303930408,False
TXN100091,2026-03-23,Deutsche Bank,Standard Chartered,Tokenised Deposit,Permissioned Ledger,EU,17726.66,Settled,5.9,35.5,3.19,5.65,N/A,9.782881410662736,-0.9156583958810671,False
TXN100092,2026-04-21,JPMorgan,Standard Chartered,Regulated Stablecoin,Hybrid Network,MEA,321107.33,Settled,38.5,53.6,1.32,42.39,N/A,12.679533821815236,1.31299786458469,False
TXN100093,2026-02-22,HSBC,JPMorgan,Regulated Stablecoin,Public Blockchain,UK,91405.53,Settled,67.9,53.0,1.09,9.96,N/A,11.42307219909154,0.3462884828387464,False
TXN100094,2026-01-24,Deutsche Bank,BNY Mellon,Tokenised Equity,Public Blockchain,APAC,301383.39,Settled,42.0,27.5,3.26,98.25,N/A,12.61614177219428,1.264224636665609,False
TXN100095,2026-06-03,HSBC,Deutsche Bank,Regulated Stablecoin,Hybrid Network,APAC,64926.45,Settled,14.1,34.1,4.33,28.11,N/A,11.081025771668026,0.08312128027333435,False
TXN100096,2026-07-07,Standard Chartered,JPMorgan,Tokenised Bond,Permissioned Ledger,MEA,68871.9,Pending,,20.3,2.33,16.05,Pending,11.140018055972236,0.12850937144629093,False
TXN100097,2026-05-04,UBS,Citi,Regulated Stablecoin,Hybrid Network,APAC,76815.3,Settled,16.6,40.8,4.48,34.41,N/A,11.249172136199462,0.21249146170923663,False
TXN100098,2026-02-10,BNY Mellon,UBS,Tokenised Bond,Permissioned Ledger,APAC,63726.12,Pending,,30.9,2.87,18.29,Pending,11.062365496639165,0.06876424571683512,False
TXN100099,2026-06-06,Citi,UBS,Tokenised Deposit,Public Blockchain,EU,7313.14,Settled,70.7,45.1,1.92,1.4,N/A,8.897564739898844,-1.5968124526108558,False
TXN100100,2026-01-15,Deutsche Bank,Barclays,Regulated Stablecoin,Permissioned Ledger,EU,234445.77,Pending,,27.3,1.43,33.53,Pending,12.364983847498113,1.070986166255901,False
TXN100101,2026-02-14,UBS,JPMorgan,Tokenised Bond,Public Blockchain,APAC,233815.32,Settled,59.9,54.7,0.55,12.86,N/A,12.362291128834613,1.0689144146422187,False
TXN100102,2026-03-06,JPMorgan,HSBC,Tokenised Deposit,Permissioned Ledger,APAC,11783.67,Settled,9.8,46.6,3.42,4.03,N/A,9.374554813281105,-1.2298209181310806,False
TXN100103,2026-03-30,Barclays,BNY Mellon,Tokenised Deposit,Permissioned Ledger,UK,33265.72,Settled,18.5,18.4,2.43,8.08,N/A,10.412312776836574,-0.43138000978409385,False
TXN100104,2026-03-12,UBS,BNY Mellon,Regulated Stablecoin,Permissioned Ledger,US,6528.25,Settled,6.7,50.9,2.16,1.41,N/A,8.784047361156581,-1.6841516224165098,False
TXN100105,2026-01-09,UBS,Barclays,Tokenised Equity,Hybrid Network,EU,4959.12,Settled,25.1,24.6,1.38,0.68,N/A,8.509185212974701,-1.895627892386674,False
TXN100106,2026-03-29,JPMorgan,Citi,Tokenised Deposit,Permissioned Ledger,UK,14601.9,Settled,10.1,56.2,2.75,4.02,N/A,9.58897541810906,-1.0648477851853348,False
TXN100107,2026-05-09,Barclays,JPMorgan,Tokenised Bond,Permissioned Ledger,US,30174.19,Settled,10.3,32.5,4.29,12.94,N/A,10.314775342549057,-0.5064243653711537,False
TXN100108,2026-05-16,JPMorgan,Barclays,Tokenised Equity,Permissioned Ledger,APAC,69304.87,Settled,10.9,28.1,1.68,11.64,N/A,11.146284885775502,0.1333310094932134,False
TXN100109,2026-03-04,Citi,Barclays,Regulated Stablecoin,Permissioned Ledger,UK,21364.75,Settled,10.0,31.6,2.34,5.0,N/A,9.969544451604278,-0.7720416632726741,False
TXN100110,2026-05-19,UBS,HSBC,Tokenised Deposit,Hybrid Network,MEA,25620.67,Settled,37.1,36.8,2.35,6.02,N/A,10.151193756776806,-0.6322824503193548,False
TXN100111,2026-03-22,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,MEA,328897.07,Settled,9.0,30.2,0.5,16.44,N/A,12.703503164114933,1.3314396439883198,False
TXN100112,2026-05-16,HSBC,Citi,Tokenised Bond,Public Blockchain,MEA,28092.42,Settled,48.2,35.7,4.03,11.32,N/A,10.243290664200169,-0.561423983315042,False
TXN100113,2026-06-12,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,APAC,44973.97,Settled,11.7,45.8,3.89,17.49,N/A,10.713861391781268,-0.1993714312111881,False
TXN100114,2026-06-12,Deutsche Bank,Standard Chartered,Tokenised Bond,Permissioned Ledger,MEA,32737.43,Settled,9.4,45.4,3.73,12.21,N/A,10.396304896201706,-0.44369631782862484,False
TXN100115,2026-02-02,Standard Chartered,JPMorgan,Tokenised Real Estate Fund,Public Blockchain,MEA,43174.25,Settled,52.9,23.5,2.16,9.33,N/A,10.673022693386072,-0.23079232952032125,False
TXN100116,2026-05-03,JPMorgan,Barclays,Tokenised Equity,Permissioned Ledger,EU,125369.96,Settled,8.3,16.9,3.36,42.12,N/A,11.739032301415044,0.5893851199739253,False
TXN100117,2026-01-05,Standard Chartered,HSBC,Tokenised Equity,Permissioned Ledger,UK,167848.21,Settled,4.4,33.8,1.22,20.48,N/A,12.030821295813846,0.8138847411912192,False
TXN100118,2026-02-10,Standard Chartered,UBS,Tokenised Deposit,Hybrid Network,EU,34564.29,Settled,31.8,29.6,1.88,6.5,N/A,10.450605278334043,-0.40191813066368015,False
TXN100119,2026-01-28,Deutsche Bank,Standard Chartered,Tokenised Deposit,Hybrid Network,US,120816.91,Settled,32.4,49.7,2.24,27.06,N/A,11.702039815082593,0.5609234599081221,False
TXN100120,2026-05-15,Barclays,Citi,Tokenised Bond,Permissioned Ledger,EU,147886.31,Settled,10.5,32.5,3.86,57.08,N/A,11.904205843800717,0.716468040894587,False
TXN100121,2026-03-13,JPMorgan,Barclays,Tokenised Deposit,Public Blockchain,EU,54552.62,Settled,75.5,24.0,3.77,20.57,N/A,10.906939350195985,-0.05081912333946116,False
TXN100122,2026-01-12,Standard Chartered,Citi,Tokenised Bond,Hybrid Network,US,47335.29,Settled,5.5,41.0,3.74,17.7,N/A,10.765032510753176,-0.16000086876030495,False
TXN100123,2026-06-11,Citi,Standard Chartered,Regulated Stablecoin,Public Blockchain,EU,40382.74,Settled,81.2,43.4,1.5,6.06,N/A,10.606182507686816,-0.28221851988262014,False
TXN100124,2026-02-02,JPMorgan,Deutsche Bank,Regulated Stablecoin,Public Blockchain,US,25295.45,Settled,50.1,21.3,2.15,5.44,N/A,10.138419348664838,-0.6421109559774272,False
TXN100125,2026-02-17,UBS,JPMorgan,Tokenised Real Estate Fund,Permissioned Ledger,APAC,34028.76,Settled,6.4,15.5,3.24,11.03,N/A,10.434990714869436,-0.41393182429355957,False
TXN100126,2026-05-31,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,APAC,148925.79,Failed,,39.2,3.64,54.21,Failed,11.911210121897543,0.7218570645035064,False
TXN100127,2026-03-03,Standard Chartered,JPMorgan,Regulated Stablecoin,Hybrid Network,EU,37478.13,Pending,,35.5,0.91,3.41,Pending,10.53153952370301,-0.3396481075386571,False
TXN100128,2026-02-06,BNY Mellon,UBS,Tokenised Bond,Hybrid Network,UK,25962.68,Settled,42.0,22.7,1.56,4.05,N/A,10.164453917320053,-0.6220802114536532,False
TXN100129,2026-04-09,UBS,Standard Chartered,Tokenised Deposit,Permissioned Ledger,EU,6907.64,Settled,8.6,36.8,2.91,2.01,N/A,8.84052808118247,-1.6406959044309244,False
TXN100130,2026-06-21,JPMorgan,UBS,Tokenised Deposit,Permissioned Ledger,APAC,77383.24,Settled,5.6,54.0,1.57,12.15,N/A,11.256538421273888,0.21815900997436047,False
TXN100131,2026-04-14,JPMorgan,Barclays,Tokenised Deposit,Hybrid Network,US,303180.58,Settled,33.2,54.5,1.75,53.06,N/A,12.622087178925986,1.268798974919869,False
TXN100132,2026-02-04,Barclays,Deutsche Bank,Tokenised Deposit,Public Blockchain,MEA,50309.26,Settled,39.9,20.4,4.26,21.43,N/A,10.825964311430667,-0.11312053250784052,False
TXN100133,2026-07-12,UBS,JPMorgan,Tokenised Deposit,Public Blockchain,APAC,115752.04,Settled,42.7,56.3,0.56,6.48,N/A,11.659214235102521,0.5279738741852396,False
TXN100134,2026-04-11,Standard Chartered,UBS,Regulated Stablecoin,Permissioned Ledger,APAC,153139.46,Pending,,53.1,1.36,20.83,Pending,11.939110818449986,0.7433235897253633,False
TXN100135,2026-06-24,Deutsche Bank,JPMorgan,Regulated Stablecoin,Permissioned Ledger,US,148287.82,Settled,8.7,31.6,4.16,61.69,N/A,11.906917137556647,0.7185540840041604,False
TXN100136,2026-05-11,Standard Chartered,Barclays,Tokenised Bond,Permissioned Ledger,MEA,84373.38,Settled,3.4,50.6,1.32,11.14,N/A,11.343019079999685,0.2846963897222352,False
TXN100137,2026-01-01,HSBC,UBS,Regulated Stablecoin,Hybrid Network,APAC,230282.57,Settled,17.2,27.7,1.58,36.38,N/A,12.347066741535654,1.0572009187685178,False
TXN100138,2026-01-05,Barclays,UBS,Tokenised Deposit,Permissioned Ledger,MEA,108926.52,Settled,4.0,15.4,1.83,19.93,N/A,11.59843798590279,0.4812132177305297,False
TXN100139,2026-05-22,BNY Mellon,Standard Chartered,Tokenised Equity,Permissioned Ledger,APAC,314106.02,Pending,,38.5,2.97,93.29,Pending,12.65748903484719,1.296036819380298,False
TXN100140,2026-04-13,Deutsche Bank,HSBC,Regulated Stablecoin,Public Blockchain,US,10008.05,Settled,53.2,28.8,3.96,3.96,N/A,9.211244962710587,-1.3554699326515698,False
TXN100141,2026-01-27,Standard Chartered,Citi,Tokenised Real Estate Fund,Hybrid Network,EU,241964.89,Settled,46.4,27.0,1.49,36.05,N/A,12.396552044791157,1.0952744309637708,False
